Escola;Gênero;Idade;Moradia;Tamanho da família;Relacionamento dos pais;Escolaridade da mãe;Escolaridade do pai;Ocupação da mãe;Ocupação do pai;Motivo da escolha pela escola;Guardião;Tempo em trânsito;Tempo de estudo;Reprovações;Suporte extracurricular;Suporte familiar nas aulas;Aulas particulares;Atividades extracurriculares;Frequentou pré-escola?;Deseja cursar ensino superior?;Acesso à internet;Namora?;Qualidade da relação familiar;Tempo livre pós aula;Vida social;Consumo de álcool diário;Consumo de álcool semanal;Status de saúde;Número de faltas;Nota1;Nota2;Nota final
Gabriel Pereira;Masculino;15;Rural;Mais de 3 pessoas;Juntos;4;3;Professora;Sem ocupação;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;5;2;1;1;5;0;13;14;15
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;3;3;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;5;3;2;1;1;2;0;13;12;12
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;2;Outros;Outros;Perto de casa;Mãe;1;1;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;5;4;3;1;1;5;4;12;12;12
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Outros;Outros;Pai;2;1;0;Não;Sim;Não;Sim;Sim;Sim;Não;Não;3;5;1;1;1;5;4;11;11;11
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;4;3;Professora;Serviços;Perto de casa;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;3;1;1;4;0;14;14;14
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Separados;4;4;Outros;Professor;Reputação da escola;Mãe;2;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;2;4;3;1;1;5;4;13;13;13
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;3;4;Serviços;Saúde;Preferência pelo curso;Mãe;1;3;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;2;1;1;5;2;11;12;12
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;2;2;Dona de casa;Outros;Reputação da escola;Mãe;1;1;0;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;4;3;1;1;1;2;8;14;13;12
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Outros;Outros;Perto de casa;Mãe;2;2;0;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;3;3;3;1;2;3;16;11;11;10
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;4;4;Professora;Outros;Perto de casa;Outros;1;1;0;Não;Sim;Não;Não;Não;Sim;Sim;Sim;5;4;3;2;4;5;8;10;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Professor;Preferência pelo curso;Pai;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;3;1;1;5;0;14;15;15
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;2;2;Serviços;Serviços;Preferência pelo curso;Pai;1;1;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;5;4;1;1;1;1;0;9;10;10
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Outros;Sem ocupação;Preferência pelo curso;Pai;2;2;1;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;4;3;3;2;2;5;14;10;11;11
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Separados;4;3;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;5;2;2;1;1;5;4;10;11;11
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Separados;3;3;Outros;Serviços;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;2;3;5;1;4;3;6;13;12;13
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Saúde;Serviços;Reputação da escola;Mãe;1;4;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;4;2;2;1;1;2;2;17;17;17
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;2;Professora;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;4;3;3;2;2;5;4;11;12;13
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Professor;Outros;Pai;1;2;0;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;4;4;4;1;1;3;2;13;12;12
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Serviços;Serviços;Preferência pelo curso;Mãe;3;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;3;3;2;3;4;0;14;13;13
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Juntos;4;2;Saúde;Outros;Outros;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;3;3;1;1;5;0;16;14;16
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Separados;4;2;Saúde;Saúde;Outros;Pai;2;1;0;Não;Não;Não;Não;Sim;Sim;Não;Não;5;5;5;3;4;5;4;10;9;9
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Preferência pelo curso;Mãe;1;1;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;3;3;4;2;3;5;0;13;12;12
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Separados;3;3;Outros;Outros;Outros;Mãe;1;1;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;5;3;4;4;4;1;0;13;12;13
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Separados;2;1;Outros;Outros;Outros;Mãe;1;2;0;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;5;3;4;1;1;2;2;12;13;12
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Separados;4;3;Serviços;Serviços;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;2;1;1;1;0;15;14;15
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Professora;Saúde;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Não;Não;3;2;2;1;1;5;8;15;15;16
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;1;2;Outros;Sem ocupação;Perto de casa;Pai;1;2;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;2;1;1;5;0;14;13;14
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;2;Serviços;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;4;2;3;1;1;5;2;16;15;16
Gabriel Pereira;Feminino;16;Rural;Mais de 3 pessoas;Juntos;4;4;Saúde;Professor;Outros;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Não;Não;2;4;4;2;3;4;0;17;16;16
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;1;1;Serviços;Serviços;Preferência pelo curso;Pai;4;1;0;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;5;5;5;5;5;5;0;10;10;16
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;1;2;Outros;Serviços;Reputação da escola;Pai;1;2;0;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;4;4;3;1;1;1;0;13;13;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Saúde;Perto de casa;Mãe;1;3;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;3;4;4;2;4;4;0;14;13;13
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Juntos;4;3;Serviços;Serviços;Reputação da escola;Pai;1;2;0;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;4;4;4;2;4;2;0;13;12;12
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;4;3;Professora;Serviços;Preferência pelo curso;Mãe;3;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;3;1;2;1;2;16;15;16
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Separados;4;4;Outros;Serviços;Reputação da escola;Mãe;1;4;0;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;1;3;3;5;5;3;0;11;12;12
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;1;Serviços;Outros;Preferência pelo curso;Mãe;1;4;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;4;3;3;1;2;5;0;10;9;10
Gabriel Pereira;Feminino;15;Rural;Menos de 3 pessoas;Juntos;2;2;Saúde;Serviços;Reputação da escola;Mãe;2;2;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;4;1;3;1;3;4;0;11;10;11
Gabriel Pereira;Feminino;15;Rural;Menos de 3 pessoas;Juntos;3;1;Outros;Outros;Reputação da escola;Pai;2;4;0;Não;Sim;Não;Não;Não;Sim;Sim;Não;4;4;2;2;3;3;6;15;15;15
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;1;Outros;Outros;Reputação da escola;Pai;2;4;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;3;2;1;1;5;2;13;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;2;Outros;Outros;Preferência pelo curso;Mãe;1;4;0;Não;Não;Não;Não;Sim;Sim;Sim;Não;3;3;3;1;1;3;0;11;9;10
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;1;1;Outros;Outros;Reputação da escola;Mãe;1;2;0;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;3;3;4;2;4;5;2;13;11;11
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;1;Outros;Outros;Reputação da escola;Mãe;1;1;0;Não;Não;Não;Sim;Sim;Sim;Não;Não;5;3;2;2;2;5;0;13;13;14
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Serviços;Perto de casa;Mãe;1;2;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;3;2;4;5;4;11;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;3;Professora;Outros;Perto de casa;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;3;2;3;5;0;11;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;0;Professora;Outros;Preferência pelo curso;Mãe;2;4;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;3;4;3;1;1;1;0;12;11;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Reputação da escola;Mãe;1;4;0;Não;Não;Não;Não;Sim;Sim;Sim;Sim;5;2;3;1;3;3;1;13;13;13
Gabriel Pereira;Masculino;17;Urbano;Mais de 3 pessoas;Juntos;2;1;Outros;Outros;Perto de casa;Mãe;2;1;3;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;4;5;1;1;1;3;0;9;9;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;4;Dona de casa;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;2;4;3;1;2;3;14;12;11;11
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Serviços;Preferência pelo curso;Pai;1;1;0;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;3;2;2;1;3;3;0;11;11;12
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;2;3;Outros;Outros;Perto de casa;Mãe;1;3;0;Sim;Não;Não;Não;Não;Sim;Sim;Não;5;3;2;1;2;5;2;10;9;9
Gabriel Pereira;Feminino;15;Urbano;Menos de 3 pessoas;Juntos;3;2;Serviços;Outros;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Sim;Não;4;4;4;1;1;5;4;12;11;11
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;2;2;Serviços;Serviços;Perto de casa;Mãe;2;2;0;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;5;3;3;1;3;4;2;13;12;13
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;1;1;Outros;Outros;Perto de casa;Pai;1;2;0;Não;Sim;Não;Sim;Não;Sim;Sim;Não;4;3;2;2;3;4;2;13;12;12
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Reputação da escola;Pai;2;2;0;Não;Não;Não;Não;Sim;Sim;Sim;Sim;4;4;4;2;3;5;4;12;11;12
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;2;2;Dona de casa;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;4;3;4;1;2;2;6;13;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;2;Outros;Outros;Reputação da escola;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;3;3;1;3;1;4;15;15;15
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;2;2;Serviços;Outros;Reputação da escola;Pai;2;2;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;4;4;2;1;1;3;6;12;10;11
Gabriel Pereira;Masculino;16;Urbano;Menos de 3 pessoas;Separados;4;4;Professora;Saúde;Reputação da escola;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Não;4;1;3;3;5;5;6;9;9;10
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Outros;Outros;Perto de casa;Mãe;1;3;0;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;4;3;3;1;3;4;2;9;11;11
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;4;3;Serviços;Outros;Reputação da escola;Mãe;1;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;4;5;5;1;3;1;6;14;13;13
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;3;1;Outros;Outros;Perto de casa;Pai;1;2;0;Sim;Sim;Não;Não;Sim;Sim;Não;Não;3;3;3;2;3;2;0;12;13;12
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;2;Professora;Serviços;Perto de casa;Mãe;2;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;3;3;1;1;1;2;13;14;14
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Juntos;2;2;Serviços;Saúde;Reputação da escola;Mãe;1;4;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;4;3;4;1;1;4;2;11;12;12
Gabriel Pereira;Feminino;15;Rural;Mais de 3 pessoas;Juntos;1;1;Dona de casa;Outros;Perto de casa;Mãe;2;4;0;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;3;1;2;1;1;1;4;13;13;13
Gabriel Pereira;Masculino;16;Rural;Mais de 3 pessoas;Juntos;4;3;Serviços;Outros;Reputação da escola;Mãe;2;1;0;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;3;3;3;1;1;4;6;9;11;11
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;2;1;Outros;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Não;Sim;Sim;Não;Sim;4;3;5;1;1;5;0;13;12;12
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Outros;Outros;Reputação da escola;Mãe;1;1;0;Não;Não;Não;Sim;Não;Sim;Sim;Não;5;3;4;1;2;1;4;12;13;13
Gabriel Pereira;Feminino;16;Urbano;Mais de 3 pessoas;Juntos;4;3;Outros;Sem ocupação;Preferência pelo curso;Mãe;1;3;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;5;3;5;1;1;3;2;12;13;13
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Serviços;Outros;Mãe;1;1;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;5;5;5;5;4;12;9;9;8
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Professor;Outros;Pai;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;4;4;3;1;1;4;0;16;16;16
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Juntos;4;4;Serviços;Outros;Preferência pelo curso;Mãe;1;1;0;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;5;3;3;1;1;5;2;12;13;12
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;3;2;Serviços;Outros;Perto de casa;Mãe;2;2;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;4;3;5;1;1;2;16;11;10;10
Gabriel Pereira;Masculino;15;Urbano;Mais de 3 pessoas;Separados;3;4;Serviços;Outros;Preferência pelo curso;Mãe;1;2;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;4;4;1;1;1;0;16;16;16
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Separados;3;3;Outros;Saúde;Reputação da escola;Pai;1;4;0;Sim;Não;Não;Não;Sim;Sim;Não;Não;4;3;3;1;1;4;10;10;10;10
Gabriel Pereira;Feminino;15;Urbano;Mais de 3 pessoas;Juntos;2;2;Outros;Outros;Preferência pelo curso;Mãe;1;4;0;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;5;1;2;1;1;3;4;10;10;10
Gabriel Pereira;Masculino;16;Urbano;Mais de 3 pessoas;Juntos;3;3;Serviços;Outros;Perto de casa;Pai;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;5;3;3;1;1;5;4;13;14;14
Gabriel Pereira;Masculino;15;Rural;Mais de 3 pessoas;Juntos;4;4;Outros;Outros;Perto de casa;Pai;4;4;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;1;3;5;3;5;1;8;12;10;11
Gabriel Pereira;Feminino;16;Urbano;Menos de 3 pessoas;Juntos;4;4;Saúde;Saúde;Outros;Mãe;1;3;0;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;5;4;5;1;1;4;2;15;15;14
Gabriel Pereira;Masculino;15;Urbano;Menos de 3 pessoas;Separados;4;4;Professora;Professor;Preferência pelo curso;Mãe;1;1;0;Não;Não;Não;Sim;Sim;Sim;Sim;Não;5;5;3;1;1;4;4;13;14;14
Gabriel Pereira;Feminino;16;Rural;Mais de 3 pessoas;Juntos;3;3;Serviços;Outros;Reputação da escola;Pai;1;3;0;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;4;1;2;1;1;2;4;11;11;11
